positive,negative,neutral,compound,overall
0.198,0.073,0.728,0.9339,Positive
0.132,0.249,0.618,-0.9274,Negative
0.019,0.153,0.827,-0.9203,Negative
0.053,0.126,0.822,-0.7543,Negative
0.481,0.0,0.519,0.8807,Positive
0.11,0.134,0.756,-0.1781,Negative
0.227,0.0,0.773,0.9388,Positive
0.071,0.19,0.739,-0.9246,Negative
0.144,0.112,0.744,0.2006,Positive
0.109,0.055,0.836,0.5264,Positive
0.19,0.104,0.706,0.5709,Positive
0.339,0.0,0.661,0.6249,Positive
0.658,0.0,0.342,0.9371,Positive
0.063,0.17,0.767,-0.8503,Negative
0.592,0.0,0.408,0.9577,Positive
0.129,0.0,0.871,0.7351,Positive
0.0,0.365,0.635,-0.9017,Negative
0.769,0.0,0.231,0.7688,Positive
0.423,0.0,0.577,0.9001,Positive
0.462,0.0,0.538,0.9192,Positive
0.396,0.0,0.604,0.9681,Positive
0.099,0.199,0.702,-0.3459,Negative
0.0,0.105,0.895,-0.7569,Negative
0.255,0.071,0.674,0.8883,Positive
0.152,0.112,0.736,0.7405,Positive
0.125,0.081,0.794,0.8674,Positive
0.047,0.055,0.898,-0.2754,Negative
0.106,0.0,0.894,0.4754,Positive
0.084,0.181,0.734,-0.7845,Negative
0.111,0.025,0.863,0.9306,Positive
0.149,0.043,0.809,0.8007,Positive
0.371,0.0,0.629,0.8261,Positive
0.171,0.0,0.829,0.5719,Positive
0.464,0.0,0.536,0.9588,Positive
0.0,0.296,0.704,-0.743,Negative
0.787,0.0,0.213,0.961,Positive
0.198,0.066,0.735,0.7501,Positive
0.308,0.029,0.663,0.9149,Positive
0.311,0.0,0.689,0.9857,Positive
0.19,0.022,0.788,0.9723,Positive
0.051,0.096,0.853,-0.791,Negative
0.301,0.053,0.646,0.9281,Positive
0.292,0.0,0.708,0.9806,Positive
0.166,0.073,0.761,0.4242,Positive
0.377,0.0,0.623,0.8979,Positive
0.102,0.135,0.763,-0.0329,Negative
0.171,0.09,0.739,0.8768,Positive
0.184,0.0,0.816,0.7906,Positive
0.0,0.0,1.0,0.0,Negative
0.256,0.048,0.696,0.8875,Positive
0.398,0.058,0.544,0.9767,Positive
0.361,0.0,0.639,0.9835,Positive
0.208,0.094,0.698,0.8207,Positive
0.168,0.041,0.792,0.7845,Positive
0.393,0.098,0.509,0.9032,Positive
0.177,0.089,0.734,0.9459,Positive
0.173,0.074,0.752,0.8472,Positive
0.46,0.0,0.54,0.9381,Positive
0.184,0.097,0.718,0.734,Positive
0.204,0.0,0.796,0.4728,Positive
0.41,0.0,0.59,0.9218,Positive
0.097,0.052,0.851,0.907,Positive
0.019,0.286,0.695,-0.9762,Negative
0.516,0.0,0.484,0.8923,Positive
0.548,0.0,0.452,0.8658,Positive
0.046,0.139,0.815,-0.875,Negative
0.084,0.168,0.748,-0.9855,Negative
0.309,0.145,0.546,0.5584,Positive
0.052,0.132,0.816,-0.5859,Negative
0.312,0.0,0.688,0.7783,Positive
0.168,0.153,0.679,0.0679,Positive
0.188,0.094,0.718,0.7652,Positive
0.344,0.0,0.656,0.9403,Positive
0.205,0.04,0.755,0.8476,Positive
0.074,0.062,0.864,0.2144,Positive
0.388,0.0,0.612,0.9231,Positive
0.467,0.0,0.533,0.836,Positive
0.153,0.0,0.847,0.6908,Positive
0.394,0.0,0.606,0.6369,Positive
0.083,0.11,0.807,-0.8392,Negative
0.034,0.111,0.855,-0.9276,Negative
0.137,0.179,0.684,-0.8916,Negative
0.0,0.0,1.0,0.0,Negative
0.064,0.13,0.806,-0.5106,Negative
0.317,0.0,0.683,0.8805,Positive
0.221,0.063,0.716,0.875,Positive
0.226,0.021,0.752,0.9753,Positive
0.116,0.094,0.79,-0.0258,Negative
0.159,0.0,0.841,0.9344,Positive
0.184,0.054,0.762,0.861,Positive
0.011,0.103,0.886,-0.9296,Negative
0.025,0.088,0.888,-0.7506,Negative
0.245,0.03,0.725,0.9863,Positive
0.034,0.112,0.853,-0.6785,Negative
0.171,0.104,0.725,0.7167,Positive
0.323,0.0,0.677,0.8004,Positive
0.426,0.0,0.574,0.9416,Positive
