Zip,Centroid Latitude,Centroid Longitude
37715,36.5542252,-83.9605185
33823,28.0857348,-81.8137314
37716,36.1008826,-84.1686912
37719,36.0224147,-84.4293813
37721,36.1184202,-83.8125842
37722,35.8148979,-83.2025262
2568,41.4586451,-70.6125215
2571,41.7611873,-70.6959913
2575,41.4002519,-70.6569337
2576,41.7722213,-70.7629481
2584,41.258845,-70.0073327
2601,41.6560375,-70.296764
2630,41.7067558,-70.3124888
2631,41.7475128,-70.0662227
2632,41.6590971,-70.3468771
2633,41.6893425,-69.972382
2635,41.6240537,-70.4393967
2637,41.7057259,-70.2709278
2638,41.7302454,-70.1973919
2639,41.6680669,-70.1369791
2641,41.7512456,-70.1534717
2642,41.841331,-69.9774364
2643,41.7979411,-69.9373266
2644,41.6834882,-70.5107856
2645,41.7110833,-70.0576107
2646,41.6705961,-70.0714493
2647,41.6301267,-70.3101436
2648,41.6709463,-70.4153701
2649,41.6168006,-70.4900969
2650,41.701947,-69.9614533
75161,32.7384708,-96.1691657
75163,32.1667769,-96.1185313
75164,33.0659705,-96.308737
70503,30.1724872,-92.0602247
80487,40.5409151,-106.8505759
80488,40.4487032,-106.8181839
80497,39.6707581,-106.0000634
70506,30.195483,-92.0813268
80498,39.7466315,-106.2705296
75165,32.3733515,-96.7870853
70507,30.278324,-92.0280375
75166,33.013047,-96.4538867
75167,32.3608294,-96.9155228
80501,40.1648369,-105.1031785
70508,30.1552385,-92.0282253
75169,32.7032691,-95.9946662
80503,40.1690141,-105.2103757
75172,32.6051769,-96.6743172
75173,33.0617371,-96.3958247
70510,29.8946123,-92.193173
75180,32.7166057,-96.620087
70512,30.4157287,-91.9204968
70513,29.8999687,-91.903251
75181,32.7238926,-96.5558037
42055,37.0752223,-88.1740493
42056,37.1072751,-88.9867461
42058,37.0583371,-88.4657068
42060,36.9658541,-88.8281298
42061,36.8828383,-88.7663655
42064,37.3571384,-88.0895147
48601,43.4059471,-83.8939978
42066,36.7325322,-88.6398816
42069,36.9187907,-88.756493
48602,43.4200263,-83.9744724
27305,36.5270825,-79.2341337
27306,35.225229,-79.9801863
27310,36.174072,-79.9922326
27311,36.4796508,-79.4725635
27312,35.7564045,-79.2097895
27313,35.931448,-79.7580594
27314,36.3103602,-79.1962496
27315,36.5101755,-79.4035026
27316,35.6970133,-79.6257928
27317,35.8407367,-79.8024987
27320,36.3416434,-79.6575265
27325,35.4630868,-79.5840912
27326,36.4641162,-79.556845
27330,35.5142713,-79.195453
27332,35.3847044,-79.1372155
27340,35.9458726,-79.317167
27341,35.5237589,-79.6959088
27343,36.5037281,-79.0914776
27344,35.7223163,-79.4336918
27349,35.9013125,-79.416062
27350,35.8082528,-79.8882126
27355,35.7949664,-79.5740072
27356,35.436865,-79.8042722
27357,36.2665997,-79.9706249
27358,36.228232,-79.8800606
27360,35.8605804,-80.0992879
27370,35.8092977,-79.9779798
27371,35.4068545,-79.9681443
27376,35.2391657,-79.5350596
27377,36.0423878,-79.6098633
27379,36.3740995,-79.3345125
27401,36.0691444,-79.7651561
27403,36.0659733,-79.8243831
27405,36.1153786,-79.7346414
27406,36.0004569,-79.7639417
43569,41.3497669,-83.7894259
43570,41.5881044,-84.4412167
43571,41.5133884,-83.8227407
43604,41.6515257,-83.540954
43605,41.6480257,-83.5068635
43606,41.6731356,-83.6114138
43607,41.648634,-83.6041323
41274,37.8641597,-82.8107046
41301,37.728702,-83.4923175
41311,37.5832201,-83.7107106
41314,37.4255812,-83.6402073
41317,37.4456753,-83.1531931
41332,37.8007491,-83.3892236
41339,37.5161928,-83.2691145
41348,37.4093845,-83.3010265
41352,37.8229315,-83.3302902
41360,37.8013881,-83.6146108
41365,37.706784,-83.6288725
41366,37.5950314,-83.2177795
41367,37.4150107,-83.2278163
41385,37.6637975,-83.3147697
73165,35.3554175,-97.3652029
72002,34.6607945,-92.5275121
73169,35.3827701,-97.642601
72003,34.3825286,-91.3902612
84405,41.1567963,-111.9657986
73170,35.3252847,-97.5522013
73173,35.3408054,-97.6274914
73179,35.4283911,-97.6408428
72004,34.2827855,-91.7793099
72005,35.5371888,-91.070427
84414,41.3219643,-111.9761331
72006,35.243873,-91.359583
72007,35.0019031,-91.9831768
84501,39.5464273,-110.7575935
72010,35.3201947,-91.5376181
84511,37.5858447,-109.4077997
72011,34.5006233,-92.4658852
84512,37.0941073,-109.6181816
72012,35.0948072,-91.9075928
84513,39.2376742,-111.0144726
73401,34.2032886,-97.1155201
73425,34.4551131,-97.5584377
84515,38.9748242,-109.1304186
84516,39.1429867,-111.0688446
72013,35.4553443,-92.3684721
94542,37.6598875,-122.0371583
94544,37.6338219,-122.057202
94545,37.6059048,-122.126873
94546,37.7172764,-122.0819576
94547,38.0100946,-122.2622197
94548,37.9742947,-121.6514409
94549,37.8970087,-122.1142919
94550,37.5199829,-121.5755948
94551,37.7504663,-121.7492022
94552,37.7227186,-122.0215561
94553,37.9938795,-122.1364315
94555,37.5475883,-122.0981909
94556,37.8406524,-122.1149129
